Beer,Origin,Style,ABV,Ratings
Brau Brothers Cherry Bean Coffee Stout,MN,Foreign / Extra Stout,7.5%,3.175
Roy Pitz Best Blonde Ale,PA,Blonde Ale,4%,3.175
East End Dubbel Trubbel,PA,Abbey Dubbel,7.5%,3.175
Lang Creek Cherry Porter,MT,Porter,4.5%,3.175
Great Dane Dominator,WI,Doppelbock,7.1%,3.175
Green Man Abbey,NC,Belgian Strong Ale,8.8%,3.175
Amicas Loyal Duke Strong Scotch Ale,CO,Scottish Ale,8.6%,3.175
Troy Black Collar Stout,NY,Stout,-,3.175
J.T. Whitneys Krystal Weiss,WI,Krystal Weizen,-,3.175
Freetail 3Tail,TX,Belgian Strong Ale,9.9%,3.175
Manayunk California Dreamin,PA,Imperial IPA,8%,3.175
Stewarts Saaz Matters Bohemian Blonde,DE,Blonde Ale,6.2%,3.175
Telegraph Golden Wheat Ale,CA,American Wheat,5%,3.175
Two Rows Diablo Red Ale,TX,Altbier,-,3.175
Angel City Belgian IPA,CA,IPA,7%,3.175
Russian River Bravo IPA,CA,IPA,6.2%,3.175
Bluegrass Bourbon Barrel Big Brown,KY,Strong Ale,11.5%,3.175
Blue Ridge The Ball & Chain IPA,SC,IPA,7%,3.175
Bearden Beer Market Sunsphere Wit,TN,Witbier,-,3.175
Pretty Things Hedgerow Bitter,MA,Extra Special Bitter,5.4%,3.175
Sleeping Giant Yellowstone Lager,MT,Lager,-,3.175
Capitol City 10 Tripel-Double,DC,Abbey Tripel,9.7%,3.175
"Capitol City Red, Wheat and Blue",DC,American Wheat,5.3%,3.175
Great Lakes Tempus Fugit,OH,Old Ale,9.5%,3.175
Middle Ages Raspberry Ale,NY,Fruit Beer,4.4%,3.175
Walking Man Knuckle Dragger,WA,Strong Ale,6.5%,3.175
Red Bell Wee Heavy Scottish Ale,PA,Scottish Ale,7.8%,3.175
Willoughby 10th Anniversary Ale (Imperial American Wheat),OH,Wheatwine,10%,3.175
Port Townsend Peeping Peater Scotch Ale,WA,Scottish Ale,7%,3.175
Montgomery Riverwalk Rye,AL,Rye Beer,-,3.175
American Brewing Breakaway IPA,WA,IPA,7.2%,3.175
Pizza Port Rock Reef Rye,CA,Rye Beer,5.5%,3.175
Buzzards Bay Cranberry Lambic,MA,Fruit Lambic,-,3.175
Glacier Golden Grizzly Ale,MT,Kölsch,-,3.175
Wakonda Sneaker Wave Imperial Pils,OR,Imperial Pilsener,11.5%,3.175
East End Witte,PA,Witbier,-,3.175
Watch City Clocktoberfest Oktoberfest Lager,MA,Marzen / Oktoberfest,5.6%,3.175
Issaquah Trolley Ale,WA,Amber Ale,-,3.175
Twains Dark Truth Farmhouse Ale,GA,Saison,-,3.175
Troegs Splinter Black,PA,Imperial Stout,11%,3.175
Sudwerk Summit IPA,CA,IPA,-,3.175
Sacramento Summit IPA,CA,IPA,6.5%,3.175
Terminal BrewHouse Espresso Porter,TN,Porter,-,3.175
John Harvards Demon DPA,MA,Strong Ale,8%,3.175
Three Floyds Owd Engwish Barleywine,IN,English Barleywine,10.5%,3.175
Black Star Co-op Pub & Brewery Crotchety Dockhand,TX,Stout,-,3.175
Olde Burnside St. Andrews Summer Ale,CT,Kölsch,-,3.175
Babes Bar-B-Que Spring Lager (Maibock),CA,Bock,7%,3.175
Iron Springs Summit IPA,CA,IPA,7.1%,3.175
Moonshine Able Danger,IL,IPA,6.9%,3.175
Drake's Summit IPA,CA,IPA,6.4%,3.175
Real Ale Dunkelroggen,TX,Rye Beer,5.2%,3.175
Black Diamond Bourbon Barrel Grand Cru,CA,Abbey Dubbel,8%,3.175
Willimantic Downtown Willi IDA,CT,Brown Ale,6.6%,3.175
Lost Abbey Box Set: Track #2 (Stairway to Heaven),CA,Wild Ale,12.5%,3.175
Mogollon Donnybrook Irish Stout,AZ,Dry Stout,6%,3.175
Cider Jack Cranberry Cider,MA,Cider,5%,3.175
Penn Allegheny Pale Ale,PA,IPA,5.6%,3.175
Jackie O's Berliner Weiss,OH,Berliner Weisse,4%,3.175
Old Market Pinochle Pale Ale,OR,American Pale Ale,-,3.175
Seabright Leroy Barleywine,CA,American Barleywine,9.8%,3.175
Half Moon Bay Moon Glow Barley Wine,CA,English Barleywine,9.8%,3.175
Pisgah Vortex I,NC,Imperial IPA,10.8%,3.175
Asheville Pizza Boogie Down Brown,NC,Brown Ale,-,3.175
Deschutes D Stratt Dubbel,OR,Abbey Dubbel,7.1%,3.175
Shooting Creek Buffalo Brown,VA,Brown Ale,7.6%,3.175
Red Eye Tartan Toddy Scotch Ale,WI,Scottish Ale,8%,3.175
Dunedin Highland Games Ale,FL,Porter,5.2%,3.175
Chula Vista Pale Ale,CA,American Pale Ale,-,3.175
Elm City Winter Lager,NH,Lager,-,3.175
Peak Organic Fall Summit Ale,ME,Amber Ale,5.7%,3.175
Bethlehem Brew Works Working Mans Porter,PA,Porter,-,3.175
White Winter Cyser,WI,Mead,11.5%,3.175
UBW Uncle Fester Octoberfest,PA,Marzen / Oktoberfest,-,3.175
Brothers Honey Amber Ale,CA,Amber Ale,-,3.175
Shenandoah Nuttin But Hops,VA,Imperial IPA,-,3.175
Dunedin Bohemian Rhapsody Pilsner,FL,Imperial Pilsener,7.8%,3.175
Chattanooga Black Lager,TN,Schwarzbier,5%,3.175
Marthas Exchange Velvet Elvis Vanilla Bean Stout,NH,Milk Stout,5%,3.175
Papago Belgian Strong,AZ,Belgian Strong Ale,11.5%,3.175
Kern River 3rd Anniversary Belgian Tripel,CA,Abbey Tripel,9.2%,3.175
Brau Brothers Ring Neck Braun Ale,MN,Brown Ale,6.7%,3.175
Sand Creek Imperial Stout,WI,Imperial Stout,-,3.175
Pennichuck Halligan RyePA,NH,IPA,5.1%,3.175
Columbus Brewing Brewno,OH,American Barleywine,9%,3.175
Bend Badlands Bohemian Pilsner,OR,Bohemian / Czech Pilsener,5.5%,3.175
Pyramid Uproar Imperial Red,WA,Strong Ale,7.3%,3.175
Lightning Thunderweizen Ale,CA,Hefeweizen,5.5%,3.175
Big Time Scarlett Fire IPA,WA,IPA,5.9%,3.175
Thirsty Bear Polar Bear Pilsner,CA,Bohemian / Czech Pilsener,5.7%,3.175
Burnside Stout,OR,Dry Stout,5.4%,3.175
Kipling Light,NY,Pale Lager,3.44%,3.175
Willimantic Anniversary Amber,CT,Amber Ale,5.7%,3.175
Third Street Apripeche,CA,Fruit Beer,-,3.175
Oak Creek Oatmeal Stout,AZ,Oatmeal Stout,-,3.175
Cascade 12 Step IPA,OR,IPA,-,3.175
Voodoo Four Seasons IPA,PA,IPA,-,3.175
Destihl Belgian Pale Ale,IL,Belgian Ale,5.4%,3.175
Dragonmead Honey Porter,MI,Porter,4.6%,3.175
Evans Belgian Strong Ale,NY,Abbey Tripel,8.8%,3.175
Silver Peak Sweet Mama Pumpkin Ale,NV,Spiced Beer,-,3.175
Nimbus Belgian White Ale,AZ,Witbier,5.2%,3.175
Lagunitas El Chupalupalo,CA,American Pale Ale,5.8%,3.175
Olde Richmond Batch No. 11,VA,IPA,-,3.175
Great Lakes York Street Bitter,OH,Extra Special Bitter,5.5%,3.175
Ohio Brewing Maple Porter,OH,Porter,6.2%,3.175
Glacier BrewHouse Double IPA,AK,Imperial IPA,-,3.175
French Broad Wee Heavy Scotch Style Ale,NC,Scottish Ale,-,3.175
Orlando Brewing Peabody 25th Anniversary Ale,FL,American Pale Ale,-,3.175
Bullfrog Inspiration Red,PA,Irish Ale,5.6%,3.175
Pumphouse Summertime Organic Saison,CO,Saison,6.4%,3.175
Third Street Maibock,CA,Bock,-,3.175
North End Dawk's Classic Porter,WV,Porter,-,3.175
Beermanns Schwartzbier,CA,Schwarzbier,5%,3.175
Silver Peak Storm Front IBA,NV,American Black Ale,6.2%,3.175
Wedge Super Saison,NC,Saison,8.3%,3.175
Pisgah Hellbender Barleywine,NC,American Barleywine,9.5%,3.175
The Tap Supershow 69,MA,IPA,5.6%,3.175
Bison Mocktoberfest,CA,Marzen / Oktoberfest,-,3.175
Moonlight Reality Czeck-style Pils,CA,Bohemian / Czech Pilsener,4.8%,3.175
Great Adirondack John Brown Pale Ale,NY,IPA,-,3.175
Watch City Welcome Back Porter,MA,Porter,5.5%,3.175
Great Basin Mollys Irish Stout,NV,Dry Stout,-,3.175
Franklins Chaos Ale,MD,Strong Ale,8%,3.175
Pizza Port Reeds Wee Heavy,CA,Scottish Ale,-,3.175
TwoRows Route 66 Amber Ale,TX,Amber Ale,-,3.175
Neil House Select: Cranberry Cider,OH,Cider,-,3.175
Milwaukee Ale House Weekend at Louie's,WI,Amber Ale,4%,3.175
Livery Dunkel Weizen,MI,Dunkel Weizen,5.75%,3.175
Ithaca Anniversary Stout,NY,Stout,7%,3.175
Main Street Beer Mango Ale,VA,Fruit Beer,4.8%,3.175
Gilded Otter Huguenot Street American Lager,NY,Pale Lager,3.8%,3.175
7 Threads Symposium Ale,PA,Porter,6.8%,3.175
Great Basin Great Basinator Doppelbock,NV,Doppelbock,8.5%,3.175
Sea Dog Topsham Pale Ale,ME,English Pale Ale,4.8%,3.175
Sierra Nevada Hop Secret 393,CA,Imperial IPA,7.1%,3.175
Great Basin Road Cone Delirium Ale,NV,American Pale Ale,-,3.175
Roots Organic Nevermined Pale Ale,OR,American Pale Ale,-,3.175
Bent River Dry Hopped Pale Ale,IL,American Pale Ale,-,3.175
Amnesia The Dilemma,OR,Belgian Ale,7.3%,3.175
Real Ale 14th Anniversary,TX,Strong Ale,8.5%,3.175
Four Peaks Old Porter,AZ,Baltic Porter,-,3.175
Backcountry Expedition ESB,CO,Extra Special Bitter,-,3.175
Brickworks Assimilation Oatmeal Stout,IN,Oatmeal Stout,4.6%,3.175
Hal & Mals Trophy Buck Stout,MS,Stout,-,3.175
Midnight Sun Cafe Amsterdams 10th Anniversary Gruit,AK,Ale,12%,3.175
Crooked Stave Fertile Soil,CO,Belgian Ale,7%,3.175
Marthas Exchange Der Schnitt Oben,NH,Dunkel / Dark Lager,5.8%,3.175
The Brewer's Cabinet HopNV,NV,Amber Ale,7.5%,3.175
Southern Star Valkyrie Double IPA,TX,Imperial IPA,9.2%,3.175
Schlafly Tasmanian IPA,MO,IPA,7.2%,3.175
Jester King  RU-55 Barrel-Aged Sour Red,TX,Wild Ale,7.3%,3.175
Blackberry Farm Casper Gose,TN,Ale,3.2%,3.175
Sullivans Pirate's Porter,MI,Porter,5.3%,3.175
Jolly Pumpkin Los Vivos Y Los Muertos,MI,Saison,4.2%,3.175
Belching Beaver Garcia,CA,Fruit Stout,5.5%,3.175
Monkish Brewing Shaolin Fist,CA,Abbey Dubbel,7%,3.175
Florida Beer Sweet Stout,FL,Milk Stout,4.3%,3.175
Weyerbacher Aries,PA,Imperial Stout,8%,3.175
Rough Draft Eraser IPA,CA,IPA,7%,3.175
Lightning Sauerstrom,CA,Berliner Weisse,4.5%,3.175
The Brewer's Cabinet Festive Saison,NV,Saison,6.6%,3.175
Sudwerk California Dry Hop Lager,CA,Lager,5%,3.175
Culture Dunkelweizen,CA,Dunkel Weizen,5.2%,3.175
Fat Heads Rye'z Guyz,OH,Saison,8.5%,3.175
Great Divide Baby Yeti,CO,Stout,3.5%,3.175
Culture Milk Stout,CA,Milk Stout,6.2%,3.175
Moccasin Bend Bleach Blond Bimbo,TN,Blonde Ale,4%,3.175
Pints Redbrick Rye,OR,Rye Beer,5.2%,3.175
The Bruery Euphegenia,CA,Smoked Ale,4.8%,3.175
Wiens Crowded Anniversary,CA,Strong Ale,10.8%,3.175
Hopworks Jackie Treehorn,OR,Porter,4.8%,3.175
Idaho Brewing Game Changer India Pale Ale,ID,IPA,6.5%,3.175
The Brewer's Cabinet Pumpkin Pie Saison,NV,Saison,7.6%,3.175
Kuhnhenn Simco Sillier,MI,Belgian Strong Ale,11.25%,3.175
Idaho Brewing Badger Bitter,ID,Bitter,4.6%,3.175
Ale Industries East Bay IPA,CA,IPA,7.75%,3.175
Frankenmuth Baltic Porter,MI,Baltic Porter,-,3.175
Columbus Cousin Eddie,OH,Imperial IPA,9.4%,3.175
Newport Beach Kill Pop Music,CA,Wild Ale,6%,3.175
Nantahala Chocolate Covered Cherry Stout,NC,Chocolate Stout,7%,3.175
Brewery Vivant Farmhand,MI,Saison,-,3.175
San Marcos India Pale Ale,CA,IPA,8%,3.175
Saint Arnold Bishop's Barrel No. 4,TX,Weizenbock,9.9%,3.175
Drake's Cuvee Du Mallard,CA,Strong Ale,8.2%,3.175
Rough Draft Belgian Vanilla Stout,CA,Stout,5%,3.175
High Water Le Petit Diablotin,CA,Wild Ale,7%,3.175
The Commons Fresh Hop Farmhouse,OR,Saison,6%,3.175
OysterHouse Vegan Stout,NC,Dry Stout,4.75%,3.175
Blue Moon Vintage Ale Proximity,CO,Fruit Beer,8.5%,3.175
Lexington Avenue Hefeweizen,NC,Hefeweizen,5.8%,3.175
Wynkoop Colorojo,CO,Strong Ale,8.2%,3.175
Great Dane Double Dubbel Belgian Style Ale,WI,Belgian Strong Ale,10.6%,3.175
Rivertown Brewing Famine,OH,Dunkel Weizen,4.2%,3.175
Twisted Pine Carrot IPA,CO,IPA,6.9%,3.175
Church Brew Sanctuary Saison,PA,Saison,6.7%,3.175
Westbrook Bearded Farmer: Thomas,SC,Saison,7.8%,3.175
Crooked Fence Brewing Derby Oatmeal IPA,ID,IPA,6.5%,3.175
Silver Peak Baltic Porter,NV,Baltic Porter,8.2%,3.175
Jester King  Funk Metal Sour Barrel-Aged Stout,TX,Imperial Stout,8.2%,3.175
Saugatuck Continuum IPA,MI,Imperial IPA,8.5%,3.175
The Bruery/Hangar 24 Ichigo Highway,CA,Wild Ale,5.5%,3.175
Julian Cherry Bomb Hard Cider,CA,Cider,6.99%,3.175
Titletown Rye the Helles,WI,Helles / Dortmunder,-,3.175
Fat Heads No Jolokia Imperial Stout,OH,Imperial Stout,-,3.175
Jackie O's Drawn & Portered,OH,Porter,7%,3.175
Gordon Biersch Saison,NV,Saison,6%,3.175
Brooklyn Wild Streak,NY,Belgian Strong Ale,10%,3.175
Ohio Brewing Washington's Cherry Ale,OH,Fruit Beer,-,3.175
Wicked Weed Ivory Wheat IPA,NC,IPA,7.1%,3.175
Almanac Fresh Hop IPA: Cluster,CA,IPA,7.5%,3.175
The Brewer's Cabinet Horchata Saison,NV,Saison,-,3.175
Gilgamesh Hopscotch,OR,Scottish Ale,8.2%,3.175
Cigar City Andre's Cocoa Stout,FL,Chocolate Stout,6%,3.175
Hourglass A Maize Zing,FL,Cream Ale,6.5%,3.175
Orlando Brewing Dark Star IBA,FL,American Black Ale,6.5%,3.175
Silver Peak Neapolitan Porter,NV,Porter,-,3.175
Saltwater Big Treble,FL,Amber Ale,7%,3.175
Wasatch Ghostrider,UT,IPA,6%,3.175
Noble Ale Works You'll Shoot Your Eye Out Kid!,CA,Spiced Beer,9.1%,3.175
Borealis Fermentery La Lune Special Ale,MN,Belgian Ale,8%,3.175
Saltwater Stinger,FL,Imperial IPA,9%,3.175
Dangerous Man Vanilla Porter,MN,Porter,5.4%,3.175
Double Mountain Goliathon,OR,Belgian Strong Ale,11%,3.175
Jack's Abby Jabby Brau,MA,Lager,4.5%,3.175
Barley's Point of Origin,OH,Belgian Ale,7.6%,3.175
5 Rabbit Cerveceria 5 Rabbit Golden Ale,IL,Blonde Ale,5.3%,3.175
Breakside Szechuan Blonde,OR,Spiced Beer,5.3%,3.175
Crafted Artisan Meadery Tupelo Mead,OH,Mead,12%,3.175
Stone Habanero Levitation Ale,CA,Spiced Beer,44%,3.175
The Brewing Lair Incognito Saison,CA,Saison,7.2%,3.175
Laurelwood Stingy Jack Pumpkin Ale,OR,Spiced Beer,7%,3.175
Sixpoint Apollo,NY,Krystal Weizen,5.2%,3.175
Fish Tale Beyond The Pale Ale,WA,American Pale Ale,6.5%,3.175
Tahoe Mountain Hop Dragon Double IPA,CA,Imperial IPA,9.8%,3.175
Burnside International Incident,OR,Spiced Beer,8.6%,3.175
Crafted Artisan Meadery Hop Nectar,OH,Mead,12%,3.175
Moccasin Bend UN-Balanced IPA,TN,IPA,7.3%,3.175
FiftyFifty Nellie,CA,English Pale Ale,4.2%,3.175
Karbach El Hopadillo Negro,TX,American Black Ale,7%,3.175
Tahoe Mountain Hopped Up Monk,CA,Belgian Strong Ale,10%,3.175
Karbach  Roshambo,TX,IPA,7.5%,3.175
Brasserie Saint James Fuller's Crossing,NV,Brown Ale,5.2%,3.175
Penn Nut Roll Ale,PA,Spiced Beer,5%,3.175
Hourglass 31 Rubies,FL,English Barleywine,10%,3.175
Crux Outcast IPA,OR,IPA,8%,3.175
AC Golden Belgian Saison,CO,Saison,5%,3.175
Pipeworks Flower Child,IL,Berliner Weisse,3.5%,3.175
Funky Buddha Floridian Hefeweizen,FL,Hefeweizen,5.6%,3.175
Sixpoint Double Sweet Action,NY,Blonde Ale,9.8%,3.175
Twisted Pine Bough Breaker,CO,American Barleywine,9.1%,3.175
Migration Glisan St. Dry Hop Pale Ale,OR,American Pale Ale,5%,3.175
Mother's Holy Mole,MO,Spiced Beer,5.5%,3.175
Central Waters Ocotoberfest Lager,WI,Marzen / Oktoberfest,5.5%,3.175
Toppling Goliath Rover Truck Oatmeal Stout,IA,Oatmeal Stout,5.7%,3.175
Funkwerks Brett Trois,CO,Wild Ale,7.7%,3.175
Boom Island Silvius,MN,American Pale Ale,5.5%,3.175
Lift Bridge Silhouette,MN,Imperial Stout,10%,3.175
Mad Fox Crazy Ivan,VA,Imperial Stout,9%,3.175
Water Street Black IPA,WI,American Black Ale,-,3.175
Due South Blue on Black Porter,FL,Fruit Beer,5.7%,3.175
Branchline Woodcutter Rye IPA,TX,IPA,6.55%,3.175
Tioga-Sequoia Mt. Whitney Pale Ale,CA,American Pale Ale,5.8%,3.175
Alexandria's Milkshake Stout,OH,Milk Stout,-,3.175
Coalition Apollo Creed CDA,OR,American Black Ale,6%,3.175
Kentucky Hopfield and McCoy,KY,Imperial IPA,-,3.175
Deschutes Hidden Sun Northwest Pale Ale,OR,American Pale Ale,6.4%,3.175
Pizza Port Z Man Stout,CA,Foreign / Extra Stout,7.2%,3.175
Jackie O's Prouty's Red Ale,OH,Irish Ale,7.5%,3.175
Orgasmica IPA,CA,IPA,7.2%,3.175
Green Man Zero Dank Thirty,NC,American Black Ale,-,3.175
Texas Big Beer Beeriac IPA,TX,Imperial IPA,8.95%,3.175
Under the Rose Spiced Britishbeer,NV,Spiced Beer,5%,3.175
Ranger Creek Small Batch Series No. 6,TX,Flanders Red,-,3.175
Big Bay Üfer Bier,WI,Marzen / Oktoberfest,-,3.175
Four String Big Star White IPA,OH,IPA,7%,3.175
Rivertown Brewing Superior Vision Statement,OH,Brown Ale,6.2%,3.175
Brasserie Saint James Syrah Barreled Saison of the Witch,NV,Saison,-,3.175
Elevation Señorita,CO,Spiced Beer,8.4%,3.175
Abigaile 001 1st Anniversary Double IPA,CA,Imperial IPA,9%,3.175
Greenbush Sunspot,MI,Hefeweizen,6%,3.175
Wicked Weed Tyranny Hoppy Red Ale,NC,Amber Ale,6.6%,3.175
Saint Arnold Icon Cascadian Dark Ale,TX,American Black Ale,7%,3.175
Triton Rail Splitter IPA,IN,IPA,7%,3.175
Cigar City Common Porter,FL,Porter,5.3%,3.175
Columbus Winter Warmer,OH,Spiced Beer,7%,3.175
Golden Road It's Not Always Sunny In L.A.,CA,American Black Ale,6.4%,3.175
Mankato Stickum,MN,Altbier,5.8%,3.175
Airways Oatmeal PSA,WA,American Pale Ale,5%,3.175
Elevation Downpour Fresh Hop India Red Ale,CO,Imperial IPA,8.3%,3.175
Greenbush Closure,MI,English Pale Ale,6%,3.175
Ellicottville Catt County Cuvee,NY,Strong Ale,8.5%,3.175
Uinta Crooked Line 21st Birthday Suit,UT,Wild Ale,6.3%,3.175
DuClaw Mysterium,MD,Belgian Ale,4.8%,3.175
Ellicottville 17,NY,Strong Ale,8.4%,3.175
Parkway Get Bent Mountain IPA,VA,IPA,7.2%,3.175
Parkway Magella Belgian Dark Abbey Ale,VA,Belgian Strong Ale,11.1%,3.175
Grand Teton Coming Home Holiday Ale 2013,ID,Abbey Dubbel,7.5%,3.175
Yellowhammer Hop Revival Imperial IPA,AL,Imperial IPA,9.2%,3.175
Highland Baron Von Hopper,NC,Belgian Ale,6.3%,3.175
Crabtree Woody B. Barley Wine Ale,CO,American Barleywine,-,3.175
512 Makers Mark Barrel Aged Cascabel Cream Stout,TX,Milk Stout,9%,3.175
Okoboji Boji Beach Golden Rye Ale,IA,Blonde Ale,5%,3.175
Under the Rose Saisonbeer,NV,Saison,4.8%,3.175
Crooked Stave Wild Wild Brett Indigo (W.W.B.I.),CO,Wild Ale,7%,3.175
Pizza Port Ernest's Oatmeal Stout,CA,Oatmeal Stout,-,3.175
Brouwerij West My First Rodeo,CA,Wild Ale,7%,3.175
Terrapin Full of Blarney,GA,Dry Stout,4.2%,3.175
Altamont Beer Works Hella Hoppy,CA,Imperial IPA,9%,3.175
Alchemist Luscious,VT,Imperial Stout,11.1%,3.175
Joseph James Baby J's,NV,Imperial Stout,8.8%,3.175
Mad River Humboldt Haze,CA,American Wheat,7.95%,3.175
Uinta Hyve Honey Ale,UT,Blonde Ale,4%,3.175
Odd Side Ales Simcoe Sensation,MI,IPA,-,3.175
Lassen Ale Works Devil's Corral Imperial Stout,CA,Imperial Stout,-,3.175
McMenamins Vanilla Porter,OR,Porter,-,3.175
Oskar Blues / Shamrock Death By Coconut,CO,Porter,6.5%,3.175
Base Camp In 2 Tents IPL,OR,Strong Lager,8.6%,3.175
Saw Works Molé Stout,TN,Stout,5.8%,3.175
The Brewer's Cabinet Basilico Pepe,NV,Saison,6.3%,3.175
Gritty McDuffs Maine's Best IPA,ME,IPA,6.8%,3.175
Cascade Defroster,OR,English Strong Ale,6.9%,3.175
Renegade Elevation Triple IPA,CO,Imperial IPA,11.2%,3.175
Calfkiller Brother Tommy's Black Wit,TN,American Wheat,5.5%,3.175
Bike Dog Cocoa & Orange Peel Milk Stout,CA,Milk Stout,5.5%,3.175
Sierra Nevada Audition Barrel Aged Ruthless Rye,CA,Imperial IPA,8.9%,3.175
Central Waters Space Ghost,WI,Imperial Stout,-,3.175
Real Ale Brewer's Cut Dry Hopped Porter,TX,Porter,6.4%,3.175
Brasserie Saint James The Black Gate,NV,Schwarzbier,5.7%,3.175
5 Seasons North Scotch McAle,GA,Scottish Ale,-,3.175
Titletown One Hop Wonder: Hersbrucker,WI,American Pale Ale,-,3.175
Brasserie Saint James Bavarian Bock.,NV,Bock,6.5%,3.175
Crabtree Chunkin Pumpkin,CO,Spiced Beer,5.7%,3.175
Sierra Nevada Beer Camp Sleight Of Hand #92,CA,Belgian Ale,8.5%,3.175
Calfkiller Crack Rabbit,TN,Saison,-,3.175
Buckhorn Mailbock,OH,Bock,7.5%,3.175
Ranger Creek TRES,TX,Abbey Tripel,7.5%,3.175
Old Dominion Monk Czech,DE,Belgian Ale,5.2%,3.175
Schnebly Miami Gator Tail Ale,FL,Brown Ale,5.3%,3.175
Oakshire Barleywine,OR,American Barleywine,10.1%,3.175
Schnebly Miami Big Rod Ale Blonde Ale,FL,Blonde Ale,4.7%,3.175
Furthermore Full Thicket,WI,Imperial IPA,-,3.175
Cask and Larder Brown Lager,FL,Dunkel / Dark Lager,6.2%,3.175
Jackie O's Hocking Triple,OH,Abbey Tripel,8%,3.175
Avery Barrel-Aged Series 10: Muscat dAmour,CO,Wild Ale,8.82%,3.175
Jesse James Americas Outlaw Beer,KS,American Wheat,5.5%,3.175
Brasserie Saint James Peach Wit,NV,Witbier,4.9%,3.175
Cigar City / Terrapin Southern Slice,FL,Doppelbock,10%,3.175
Saint Arnold Icon Bière de Saison,TX,Belgian Strong Ale,9%,3.175
Real Ale Mysterium Verum Shipwrecked,TX,Scottish Ale,9.7%,3.175
Brasserie Saint James Pils de Resistance,NV,Bohemian / Czech Pilsener,4.8%,3.175
Yazoo Berliner Weisse,TN,Berliner Weisse,3.2%,3.175
Pipeworks Raspberry Truffle Abduction,IL,Imperial Stout,10.5%,3.175
Cigar City Humidor Series Riverwalk,FL,American Pale Ale,6%,3.175
The Commons Holden,OR,Rye Beer,5.8%,3.175
Orlando Brewing Doppelbock Winter Lager,FL,Doppelbock,6.8%,3.175
Right Brain Firestarter Chipotle Porter,MI,Porter,5.8%,3.175
Brasserie Saint James Pinot Noir Barrel Aged Wit,NV,Wild Ale,5.7%,3.175
Pike Saison Houblon Farmhouse Ale,WA,Saison,6.5%,3.175
Pearl Street Lune de Bleu,NY,Witbier,4.8%,3.175
Almanac Barrel Noir,CA,Strong Ale,10%,3.175
Against the Grain Shart Pants,KY,Imperial IPA,9.1%,3.175
Chehalem Valley Hop On Pop Double IPA,OR,Imperial IPA,6.4%,3.175
Bayern Dragon's Breath,MT,Hefeweizen,5.6%,3.175
Victory Sommerbock,PA,Bock,6.7%,3.175
Snake River Pale Ale,WY,American Pale Ale,5.7%,3.173
BJ's Nutty Brewnette,CA,Brown Ale,5.9%,3.173
Coast Range Farmhouse Oasthouse IPA,CA,IPA,-,3.173
Rogue John John Ale Hazlenut,OR,Brown Ale,-,3.173
Lakefront White,WI,Witbier,4.6%,3.173
Shock Top Honeycrisp Apple Wheat,MO,Fruit Beer,5.2%,3.173
Victory Swing Session Saison,PA,Saison,4.5%,3.173
Gordon Biersch Marzen,NV,Marzen / Oktoberfest,5.7%,3.172
Goose Island 312 Urban Wheat,IL,American Wheat,4.2%,3.172
SKA Decadent Imperial IPA,CO,Imperial IPA,10%,3.172
Oggi's Paradise Pale Ale,CA,American Pale Ale,4.8%,3.171
Marin Stinson Beach Peach,CA,Fruit Beer,5%,3.171
Marin Hefe Weiss,CA,Hefeweizen,5%,3.171
Edenton Joseph Hewes Revolutionary Ale,NC,Blonde Ale,5%,3.171
Bridgeport Summer Squeeze,OR,Fruit Beer,-,3.171
Pelican Bridal Ale,OR,Biere de Garde,6.5%,3.171
BJ's Pumpkin Ale,CA,Spiced Beer,4.7%,3.171
Woodstock Inn Red Rack Ale,NH,Amber Ale,5.5%,3.171
Russian River Aud Blonde,CA,Blonde Ale,4.5%,3.171
Left Coast Trestles IPA,CA,IPA,6%,3.171
Iron Hill Hefeweizen,DE,Hefeweizen,-,3.171
Mountaineer Stout,WV,Dry Stout,-,3.171
Woodstock Inn Pemi Pale Ale,NH,IPA,5.7%,3.171
Stewarts Dunkelweizen,DE,Dunkel Weizen,5.1%,3.171
East End Black Strap Stout,PA,Stout,-,3.171
Palmetto Porter,SC,Porter,-,3.171
Magic Hat Odd Notion (Summer 08),VT,Mild Ale,4.2%,3.171
Pony Express Original Wheat,KS,American Wheat,5%,3.171
Farmington River Brown Ale,MA,Brown Ale,5.5%,3.171
Phantom Canyon IPA,CO,IPA,-,3.171
OFallon Blackberry Scottish Ale,MO,Fruit Beer,-,3.170
Shipyard Double Old Thumper Ale,ME,Strong Ale,11.2%,3.170
Hardcore Crisp Hard Cider,OH,Cider,5.5%,3.170
New Holland Phi,MI,Strong Ale,8.7%,3.170
Deschutes 19th Anniversary Golden Ale,OR,Belgian Strong Ale,8.7%,3.170
Full Sail Half Pipe Porter,OR,Porter,5.4%,3.170
Karl Strauss Amber Lager,CA,Vienna / Amber Lager,4.2%,3.169
The Duck-Rabbit Amber Ale,NC,Amber Ale,-,3.169
Lakefront Cherry Lager,WI,Fruit Beer,5.5%,3.169
Boulder Planet Porter,CO,Porter,5.51%,3.167
Real Ale Rio Blanco Pale Ale,TX,American Pale Ale,5.2%,3.167
Ballast Point Wahoo Wheat,CA,Witbier,4%,3.167
Full Sail LTD 01,OR,Dunkel / Dark Lager,6.4%,3.167
Nimbus Dirty Guera Blonde Ale,AZ,Blonde Ale,3.5%,3.167
Grand Teton Old Faithful Ale,ID,Blonde Ale,-,3.167
