Beer,Origin,Style,ABV,Ratings
Midnight Sun T.R.E.A.T. Imperial Chocolate Pumpkin Porter,AK,Imperial Porter,7.8%,3.800
Goose Island Bourbon County Vanilla Stout,IL,Imperial Stout,13%,3.800
Toppling Goliath pseudoSue Pale Ale,IA,American Pale Ale,5.8%,3.800
Bells Java Stout,MI,Coffee Stout,7.5%,3.798
Sierra Nevada Celebration Ale,CA,IPA,6.8%,3.797
Southern Tier Pumking,NY,Spiced Beer,9%,3.797
Lagunitas Lucky 13,CA,Strong Ale,8.3%,3.795
Elysian Dragons Tooth Stout,WA,Foreign / Extra Stout,7.2%,3.795
Stone 14th Anniversary Emperial IPA,CA,Imperial IPA,8.9%,3.795
Pike Street XXXXX Stout,WA,Foreign / Extra Stout,7%,3.793
Hair of the Dog Blue Dot Imperial IPA,OR,Imperial IPA,7%,3.793
Boulevard Rye-on-Rye,MO,Rye Beer,11%,3.793
Founders Backwoods Bastard,MI,Scottish Ale,10.2%,3.792
Terrapin Rye2 (Rye Squared),GA,Imperial IPA,8.5%,3.791
Mad River Steelhead Scotch Porter,CA,Porter,6.5%,3.791
AleSmith Decadence 2007,CA,Imperial Porter,10%,3.791
Squatters Outer Darkness,UT,Imperial Stout,10.5%,3.790
Free State Octoberfest,KS,Marzen / Oktoberfest,5.4%,3.790
Troegs Java Head Stout,PA,Coffee Stout,7.5%,3.789
Dogfish Head Red and White,DE,Belgian Strong Ale,10%,3.788
Redhook Double Black Stout,WA,Coffee Stout,6.7%,3.788
Clown Shoes Porcine Unidragon,MA,Imperial Stout,12.5%,3.788
Bells Porter,MI,Porter,6%,3.787
Green Flash Imperial IPA,CA,Imperial IPA,9.4%,3.787
Great Divide 15th Anniversary Wood Aged Double IPA,CO,Imperial IPA,10%,3.787
Cascade Sang Royale,OR,Flanders Red,8.87%,3.787
Dogfish Head Indian Brown Ale,DE,Brown Ale,7.2%,3.786
Ballast Point Dorado Double IPA,CA,Imperial IPA,8.3%,3.786
Deschutes Jubel 2010,OR,Strong Ale,10%,3.786
Odell Myrcenary Double IPA,CO,Imperial IPA,9.3%,3.786
Surly Wet,MN,IPA,7.5%,3.786
Sly Fox Prometheus,PA,Smoked Ale,8.3%,3.786
Clown Shoes Hoppy Feet,MA,American Black Ale,7%,3.785
Samuel Adams Imperial Series Wee Heavy,MA,Scottish Ale,10%,3.785
Lagunitas Little Sumpin Extra Ale,CA,Imperial IPA,8.74%,3.783
Three Floyds Oak Aged Dark Lord,IN,Imperial Stout,14%,3.783
Prairie Artisan Ales Pirate Bomb,OK,Imperial Stout,14%,3.783
Rogue Saint Rogue Red Ale,OR,Amber Ale,5.2%,3.782
Great Lakes Eliot Ness Amber Lager,OH,Vienna / Amber Lager,6.2%,3.782
New Belgium Ranger IPA,CO,IPA,7%,3.782
Avery New World Porter,CO,Porter,6.7%,3.782
Magic Hat Thumbsucker,VT,Imperial Stout,7.8%,3.782
Founders Harvest Ale,MI,IPA,6.5%,3.782
Green Flash Hop Head Red,CA,Amber Ale,7%,3.781
Southampton Imperial Porter,NY,Baltic Porter,7.2%,3.781
Lagunitas Kill Ugly Radio,CA,IPA,7.8%,3.781
Clown Shoes Vampire Slayer,MA,Imperial Stout,11%,3.780
Boulevard Bully! Porter,MO,Porter,5.2%,3.779
Surly Coffee Bender,MN,Brown Ale,5.5%,3.779
Clown Shoes Blaecorn Unidragon,MA,Imperial Stout,12.5%,3.779
Port Brewing Wipeout IPA,CA,IPA,7%,3.778
Allagash Black,ME,Foreign / Extra Stout,7.5%,3.778
Lost Abbey Lost and Found,CA,Abbey Dubbel,8%,3.778
Laughing Dog Sneaky Pete Imperial IPA,ID,Imperial IPA,10%,3.778
Founders Black Rye,MI,Rye Beer,7%,3.776
Victory Moonglow,PA,Weizenbock,8.7%,3.775
Cigar City Big Sound Scotch Ale,FL,Scottish Ale,8.5%,3.775
North Coast Old Rasputin XII,CA,Imperial Stout,11.2%,3.775
Stone 17th Anniversary Götterdämmerung IPA,CA,Imperial IPA,9.5%,3.775
5 Seasons Delerium Dubbel,GA,Abbey Dubbel,5.9%,3.775
AleSmith Decadence 2009,CA,Weizenbock,9%,3.775
Victory Hop Wallop,PA,Imperial IPA,8.5%,3.773
New Belgium Abbey Belgian Style Ale,CO,Abbey Dubbel,7%,3.773
Firestone Walker 13,CA,Strong Ale,11%,3.773
Victory Golden Monkey,PA,Abbey Tripel,9.5%,3.772
Three Floyds Gumballhead,IN,American Wheat,4.8%,3.772
Tuppers Hop Pocket Ale,VA,American Pale Ale,5%,3.772
Brooklyner-Schneider Hopfen-Weisse,NY,Weizenbock,7.8%,3.771
New Glarus Unplugged Cran-bic,WI,Fruit Lambic,6%,3.771
Stoudts Barrel Aged Fat Dog Stout,PA,Imperial Stout,9%,3.771
Jekyll Brewing Hop Dang Diggity,GA,IPA,6.7%,3.771
Lagunitas Hairy Eyeball Ale,CA,English Strong Ale,9%,3.770
Kuhnhenn Fourth Dementia Old Ale,MI,Old Ale,11%,3.770
Heavy Seas Siren Noire 2013,MD,Imperial Stout,9.5%,3.770
Founders Blushing Monk,MI,Fruit Beer,12.3%,3.770
The Bruery Cuir,CA,Old Ale,14.5%,3.770
Pizza Port SPF 45 Saison,CA,Saison,7%,3.769
Dogfish Head 60 Minute IPA,DE,IPA,6%,3.767
Jolly Pumpkin / Nøgne Ø / Stone Special Holiday Ale,CA,Spiced Beer,9%,3.767
Schlafly Reserve Oak-Aged Barleywine,MO,English Barleywine,10.2%,3.767
